Occupation title (click on the occupation title to view its profile),Annual mean wage
Childcare Workers,"27,680"
Recreation and Fitness Workers,"38,340"
Exercise Trainers and Group Fitness Instructors,"45,870"
Recreation Workers,"32,020"
Residential Advisors,"34,950"
"Personal Care and Service Workers, All Other","30,790"
Sales and Related Occupations,"46,080"
First-Line Supervisors of Sales Workers,"54,880"
First-Line Supervisors of Retail Sales Workers,"46,890"
First-Line Supervisors of Non-Retail Sales Workers,"92,320"
Retail Sales Workers,"30,060"
Cashiers,"26,780"
Cashiers,"26,770"
Gambling Change Persons and Booth Cashiers,"29,130"
Counter and Rental Clerks and Parts Salespersons,"36,480"
Counter and Rental Clerks,"36,170"
Parts Salespersons,"36,920"
Retail Salespersons,"31,920"
"Sales Representatives, Services","74,770"
Advertising Sales Agents,"66,540"
Insurance Sales Agents,"69,340"
"Securities, Commodities, and Financial Services Sales Agents","93,260"
Travel Agents,"46,580"
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","71,110"
"Sales Representatives, Wholesale and Manufacturing","77,750"
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","102,750"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","72,390"
Other Sales and Related Workers,"53,580"
"Models, Demonstrators, and Product Promoters","39,550"
Demonstrators and Product Promoters,"36,990"
Models,
Real Estate Brokers and Sales Agents,"66,880"
Real Estate Brokers,"86,490"
Real Estate Sales Agents,"61,480"
Sales Engineers,"118,630"
Telemarketers,"30,670"
Miscellaneous Sales and Related Workers,"38,720"
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers","34,970"
"Sales and Related Workers, All Other","38,840"
Office and Administrative Support Occupations,"43,430"
First-Line Supervisors of Office and Administrative Support Workers,"63,380"
Communications Equipment Operators,"35,310"
"Switchboard Operators, Including Answering Service","34,590"
Telephone Operators,"39,370"
"Communications Equipment Operators, All Other","49,470"
Financial Clerks,"43,340"
Bill and Account Collectors,"41,280"
Billing and Posting Clerks,"42,750"
"Bookkeeping, Accounting, and Auditing Clerks","45,140"
Gambling Cage Workers,"30,770"
Payroll and Timekeeping Clerks,"49,560"
Procurement Clerks,"44,930"
Tellers,"34,930"
"Financial Clerks, All Other","47,830"
Information and Record Clerks,"38,670"
Brokerage Clerks,"57,710"
Correspondence Clerks,"41,710"
"Court, Municipal, and License Clerks","44,870"
"Credit Authorizers, Checkers, and Clerks","44,540"
Customer Service Representatives,"39,070"
"Eligibility Interviewers, Government Programs","48,570"
File Clerks,"36,820"
"Hotel, Motel, and Resort Desk Clerks","28,040"
"Interviewers, Except Eligibility and Loan","38,840"
"Library Assistants, Clerical","32,490"
Loan Interviewers and Clerks,"44,910"
New Accounts Clerks,"41,250"
Order Clerks,"41,820"
"Human Resources Assistants, Except Payroll and Timekeeping","44,840"
Receptionists and Information Clerks,"32,910"
Reservation and Transportation Ticket Agents and Travel Clerks,"45,630"
"Information and Record Clerks, All Other","43,950"
"Material Recording, Scheduling, Dispatching, and Distributing Workers","45,710"
Cargo and Freight Agents,"48,420"
Couriers and Messengers,"34,270"
Dispatchers,"46,780"
Public Safety Telecommunicators,"47,030"
"Dispatchers, Except Police, Fire, and Ambulance","46,650"
"Meter Readers, Utilities","47,430"
Postal Service Workers,"53,480"
Postal Service Clerks,"53,210"
Postal Service Mail Carriers,"54,370"
"Postal Service Mail Sorters, Processors, and Processing Machine Operators","51,010"
"Production, Planning, and Expediting Clerks","52,220"
"Shipping, Receiving, and Inventory Clerks","38,210"
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","39,540"
Secretaries and Administrative Assistants,"45,250"
Executive Secretaries and Executive Administrative Assistants,"66,870"
Legal Secretaries and Administrative Assistants,"52,540"
Medical Secretaries and Administrative Assistants,"39,740"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","41,080"
Other Office and Administrative Support Workers,"39,480"
Data Entry and Information Processing Workers,"37,590"
Data Entry Keyers,"35,940"
Word Processors and Typists,"43,370"
Desktop Publishers,"50,930"
